source,destination,edgeContent,timestamp,edgeType
doko2015,kereneubach,https://twitter.com/doko2015/status/1640248182809456640,2023-03-27T07:03:35.000Z,reply
natan_sadot,N12News,https://twitter.com/natan_sadot/status/1640248179437318147,2023-03-27T07:03:34.000Z,retweet
zvizerahia1,zvizerahia1,https://twitter.com/zvizerahia1/status/1640248167852589056,2023-03-27T07:03:32.000Z,reply
Wiersch11,amit_segal,https://twitter.com/Wiersch11/status/1640248129113956353,2023-03-27T07:03:22.000Z,reply
DrBrownEmmett,TalZackon,https://twitter.com/DrBrownEmmett/status/1640248065939349505,2023-03-27T07:03:07.000Z,reply
_muhahaha,radio103fm,https://twitter.com/_muhahaha/status/1640248045529886720,2023-03-27T07:03:03.000Z,retweet
_muhahaha,bogie_yaalon,https://twitter.com/_muhahaha/status/1640248045529886720,2023-03-27T07:03:03.000Z,mention
DavidGillerman,NirBarkat,https://twitter.com/DavidGillerman/status/1640248041440460801,2023-03-27T07:03:02.000Z,reply
YediotAhronot,ynetalerts,https://twitter.com/YediotAhronot/status/1640248019500122112,2023-03-27T07:02:56.000Z,retweet
orenbar4,Elazar_stern,https://twitter.com/orenbar4/status/1640247987833131008,2023-03-27T07:02:49.000Z,retweet
F4TMONK3Y,Nadav_Eyal,https://twitter.com/F4TMONK3Y/status/1640247977611522048,2023-03-27T07:02:46.000Z,reply
theking9505,Ilan_Tsion,https://twitter.com/theking9505/status/1640247943805501444,2023-03-27T07:02:38.000Z,reply
Dani58069159,AviBenayahu,https://twitter.com/Dani58069159/status/1640247932032040960,2023-03-27T07:02:35.000Z,retweet
slowphoton1,stam_bot,https://twitter.com/slowphoton1/status/1640247920107634688,2023-03-27T07:02:33.000Z,reply
slowphoton1,hanorgil,https://twitter.com/slowphoton1/status/1640247920107634688,2023-03-27T07:02:33.000Z,mention
elimagal,iloveisraell,https://twitter.com/elimagal/status/1640247901807845377,2023-03-27T07:02:28.000Z,retweet
chamikramer,YanivTurgi,https://twitter.com/chamikramer/status/1640247890391056384,2023-03-27T07:02:26.000Z,retweet
TlHrry,attilus,https://twitter.com/TlHrry/status/1640247882480603136,2023-03-27T07:02:24.000Z,reply
Dani58069159,AviBenayahu,https://twitter.com/Dani58069159/status/1640247872934277122,2023-03-27T07:02:21.000Z,reply
pinebullock,Gilshely,https://twitter.com/pinebullock/status/1640247859487424514,2023-03-27T07:02:18.000Z,reply
UziBaruch,Nehemia_GA,https://twitter.com/UziBaruch/status/1640247806752354306,2023-03-27T07:02:06.000Z,reply
BPokutinsky,attilus,https://twitter.com/BPokutinsky/status/1640247805993164800,2023-03-27T07:02:05.000Z,retweet
v0T1NidHfaCQD6b,N12News,https://twitter.com/v0T1NidHfaCQD6b/status/1640247789434093568,2023-03-27T07:02:01.000Z,retweet
FtfUxn7YLxJQpCV,ednahalbani,https://twitter.com/FtfUxn7YLxJQpCV/status/1640247746123776000,2023-03-27T07:01:51.000Z,reply
karshanandrea,N12News,https://twitter.com/karshanandrea/status/1640247730449653764,2023-03-27T07:01:47.000Z,retweet
Inbalite,iloveisraell,https://twitter.com/Inbalite/status/1640247726142095360,2023-03-27T07:01:46.000Z,retweet
SwsnyYyl,SwsnyYyl,https://twitter.com/SwsnyYyl/status/1640247721792532480,2023-03-27T07:01:45.000Z,reply
SwsnyYyl,RotemShM,https://twitter.com/SwsnyYyl/status/1640247721792532480,2023-03-27T07:01:45.000Z,mention
DramaSkills,attilus,https://twitter.com/DramaSkills/status/1640247681233690626,2023-03-27T07:01:36.000Z,retweet
karshanandrea,N12News,https://twitter.com/karshanandrea/status/1640247669405765632,2023-03-27T07:01:33.000Z,retweet
N12News,amit_segal,https://twitter.com/N12News/status/1640247627399720960,2023-03-27T07:01:23.000Z,mention
YediotAhronot,moran_azulay,https://twitter.com/YediotAhronot/status/1640247614464466944,2023-03-27T07:01:20.000Z,retweet
N12News,shapira_nitzan,https://twitter.com/N12News/status/1640247572974514178,2023-03-27T07:01:10.000Z,mention
GLZRadio,Doron_Kadosh,https://twitter.com/GLZRadio/status/1640247530519666690,2023-03-27T07:01:00.000Z,mention
_muhahaha,UriMisgav,https://twitter.com/_muhahaha/status/1640247520147243009,2023-03-27T07:00:57.000Z,retweet
ish_ofer,n66vHc6AqnXysvJ,https://twitter.com/ish_ofer/status/1640247493878317056,2023-03-27T07:00:51.000Z,reply
ish_ofer,attilus,https://twitter.com/ish_ofer/status/1640247493878317056,2023-03-27T07:00:51.000Z,mention
davidavri,yanivmagal100,https://twitter.com/davidavri/status/1640247491412078592,2023-03-27T07:00:50.000Z,reply
davidavri,YotYotam,https://twitter.com/davidavri/status/1640247491412078592,2023-03-27T07:00:50.000Z,mention
ahron_maline,erezgoldman22,https://twitter.com/ahron_maline/status/1640247406292860930,2023-03-27T07:00:30.000Z,reply
ahron_maline,Idaneretz,https://twitter.com/ahron_maline/status/1640247406292860930,2023-03-27T07:00:30.000Z,mention
roeivizan,ishaycoen,https://twitter.com/roeivizan/status/1640247401138069506,2023-03-27T07:00:29.000Z,reply
chamikramer,GalitDistel,https://twitter.com/chamikramer/status/1640247347857719302,2023-03-27T07:00:16.000Z,retweet
n66vHc6AqnXysvJ,attilus,https://twitter.com/n66vHc6AqnXysvJ/status/1640247330984144898,2023-03-27T07:00:12.000Z,reply
joshuackerman,ItayBlumental,https://twitter.com/joshuackerman/status/1640247295558942720,2023-03-27T07:00:04.000Z,retweet
emet_news_press,kann_news,https://twitter.com/emet_news_press/status/1640247295143804929,2023-03-27T07:00:04.000Z,retweet
mistersentence8,iloveisraell,https://twitter.com/mistersentence8/status/1640247266484035584,2023-03-27T06:59:57.000Z,retweet
AdvReut,attilus,https://twitter.com/AdvReut/status/1640247246833737728,2023-03-27T06:59:52.000Z,retweet
s_whgwn,bardugojacob,https://twitter.com/s_whgwn/status/1640247235974758400,2023-03-27T06:59:50.000Z,reply
